,NumberOfBHK,Price,Transaction,Availability,PostedBy,ReraApproved,AreaName,BuiltUpArea_sqft
0,3,6999000,Resale,Ready To Move,Individual,No, Jigani,1228
1,3,10500000,Resale,Ready To Move,Individual,Yes, Thanisandra,1515
2,3,5800000,New Property,Ready To Move,Individual,No, TC Palya,1500
3,3,18000000,Resale,Ready To Move,Broker,No, Electronic City Phase I,1585
4,3,18500000,Resale,Ready To Move,Individual,Yes, Sarjapur,1536
5,2,9000000,Resale,Ready To Move,Individual,No, Yelahanka New Town,1076
6,4,27600000,New Property,Ready To Move,Broker,Yes, Thanisandra Main Road,2553
7,3,8500000,Resale,Ready To Move,Broker,No, Bannerghatta Jigani Road,1691
8,3,12300000,New Property,Ready To Move,Broker,Yes, Hennur Bagalur Road,1900
9,3,20700000,New Property,Ready To Move,Broker,Yes, Chikkagubbi Village,1899
10,3,12500000,Resale,Ready To Move,Individual,No, Muthanallur,1900
11,3,15800000,New Property,Ready To Move,Broker,Yes, Hoodi,1825
12,3,9900000,New Property,Ready To Move,Broker,Yes, Whitefield,1150
13,3,9863000,New Property,Ready To Move,Broker,Yes, Whitefield,1110
14,4,39700000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,3153
15,3,12100000,New Property,Ready To Move,Broker,Yes, Samethanahalli,1571
16,2,10600000,New Property,Ready To Move,Broker,Yes, Whitefield,1280
17,4,33500000,New Property,Ready To Move,Broker,Yes, Whitefield,2115
18,2,9517000,New Property,Ready To Move,Broker,Yes, Gangamma Circle,1230
19,2,13200000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,1435
20,4,108800000,New Property,Ready To Move,Broker,No, Benson Town,5180
21,2,7745000,New Property,Ready To Move,Broker,Yes, Devanahalli,1009
22,2,7200000,New Property,Ready To Move,Broker,Yes, Hennur,1152
23,3,23200000,New Property,Ready To Move,Broker,Yes, Devanahalli,2589
24,4,27500000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,2400
25,2,6100000,Resale,Ready To Move,Broker,No, Narayanapura,1535
26,3,29000000,New Property,Ready To Move,Broker,Yes, Whitefield,1825
27,3,9250000,Resale,02-Jan-2025,Individual,No, Chandapura,1285
28,3,7800000,Resale,02-Jan-2025,Broker,No, Mysore Road,1082
29,4+,53500000,Resale,02-Jan-2025,Broker,No, Hebbal,4430
30,4+,42000000,New Property,02-Jan-2025,Broker,No, Hebbal,2710
31,4+,56500000,New Property,02-Jan-2025,Broker,No, Hebbal,3124
32,3,32000000,New Property,02-Jan-2025,Broker,No, Hebbal,1985
33,3,9200000,New Property,02-Jan-2025,Broker,No, Devanahalli,1282
34,4+,52000000,New Property,02-Jan-2025,Broker,No, Hebbal,3960
35,3,9300000,Resale,02-Jan-2025,Broker,No, Devanahalli,1282
36,4+,42500000,New Property,02-Jan-2025,Broker,No, Hebbal,3520
37,2,11800000,New Property,02-Jan-2025,Broker,No, Budigere,1087
38,4+,45000000,New Property,02-Jan-2025,Broker,No, Devanahalli,3467
39,4+,22900000,New Property,Ready To Move,Broker,No, International Airport Road,2412
40,3,13300000,New Property,Ready To Move,Broker,No, Hebbal,1355
41,3,18400000,New Property,Ready To Move,Broker,No, Sarjapur,1550
42,3,54800000,New Property,Ready To Move,Broker,Yes, Bannerghatta Road,4210
43,4,24300000,New Property,Ready To Move,Broker,Yes, Whitefield,2371
44,3,12100000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1321
45,4,20000000,New Property,Ready To Move,Broker,Yes, Budigere Cross,3053
46,3,18400000,New Property,Ready To Move,Broker,Yes, Whitefield,1690
47,2,5499000,Resale,Ready To Move,Broker,Yes, Bagaluru,955
48,3,32500000,Resale,Ready To Move,Broker,No, Thanisandra,2004
49,2,13900000,Resale,Ready To Move,Broker,No, Chikkagubbi Village,1400
50,3,31800000,Resale,Ready To Move,Broker,No, Whitefield,1775
51,3,7300000,Resale,Ready To Move,Broker,No, Kengeri,1200
52,3,14800000,New Property,Ready To Move,Broker,No, Thanisandra,1675
53,2,11700000,Resale,Ready To Move,Broker,No, Off Sarjapur road,1330
54,3,24500000,New Property,Ready To Move,Broker,No, Kanakapura Road,1930
55,4+,47000000,New Property,Ready To Move,Broker,No, Hebbal,2790
56,4+,47000000,Resale,Ready To Move,Broker,No, Hebbal,2790
57,3,14200000,New Property,Ready To Move,Broker,No, Kannamangala,1888
58,3,13700000,New Property,Ready To Move,Broker,No, Kannamangala,1813
59,3,17500000,New Property,Ready To Move,Broker,No, Sarjapur Road,1767
60,3,14500000,Resale,Ready To Move,Broker,No, Sarjapur,1918
61,4+,22900000,New Property,Ready To Move,Broker,No, International Airport Road,2412
62,2,8200000,Resale,Ready To Move,Broker,No, Hennur Road,1265
63,3,16400000,New Property,Ready To Move,Broker,Yes, JP Nagar,1580
64,3,15500000,New Property,Ready To Move,Broker,Yes, Rayasandra,1801
65,3,9863000,New Property,Ready To Move,Broker,Yes, Whitefield,1110
66,3,12100000,New Property,Ready To Move,Broker,Yes, Samethanahalli,1571
67,4,63800000,New Property,Ready To Move,Broker,Yes, Kundalahalli,4872
68,3,17900000,New Property,Ready To Move,Broker,Yes, Whitefield,1699
69,2,4200000,Resale,Ready To Move,Broker,No, Hunasamaranahalli,960
70,2,8300000,Resale,Ready To Move,Broker,No, Electronic City Phase I,1150
71,3,13000000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1525
72,3,25000000,Resale,Ready To Move,Broker,No, Yeshwanthpur,1595
73,1,7200000,New Property,Ready To Move,Broker,No, Sarjapur Road,634
74,2,14000000,Resale,Ready To Move,Broker,No, Sarjapur Road,1011
75,2,12000000,New Property,Ready To Move,Broker,No, KR Puram,1110
76,3,24500000,New Property,Ready To Move,Broker,No, Yeshwanthpur,1595
77,3,24000000,Resale,Ready To Move,Broker,No, Yeshwanthpur,1595
78,3,15000000,Resale,Ready To Move,Broker,No, Sarjapur Road,1435
79,2,18000000,New Property,Ready To Move,Broker,No, Kanakapura Road,1218
80,3,22500000,Resale,Ready To Move,Broker,No, Old Madras Road,1662
81,3,21500000,Resale,Ready To Move,Broker,No, Rachenahalli,1830
82,2,22400000,Resale,Ready To Move,Broker,No, Kanakapura Road,1366
83,2,10500000,New Property,Ready To Move,Broker,No, Devanahalli,1500
